,userId,group,orderId,revenue,date
0,1.8152626239381965e+19,B,4612877704153482.0,489,22/4/2019
1,1.8152626239381965e+19,B,4612877704153482.0,489,22/4/2019
2,1.7940781432832563e+19,B,4.1362784019145216e+18,97,22/4/2019
3,1.7940781432832563e+19,B,4.1362784019145216e+18,279,22/4/2019
4,2.461476672848239e+18,B,1.406554028464698e+19,4092,22/4/2019
5,1.4198526712276963e+19,A,5.370142860466391e+18,139,22/4/2019
6,1.4198526712276963e+19,A,5.370142860466391e+18,370,22/4/2019
7,1.4198526712276963e+19,A,5.370142860466391e+18,1732,22/4/2019
8,1.4198526712276963e+19,A,5.370142860466391e+18,174,22/4/2019
9,1.4198526712276963e+19,A,5.370142860466391e+18,399,22/4/2019
10,1.4198526712276963e+19,A,5.370142860466391e+18,431,22/4/2019
11,1.4198526712276963e+19,A,5.370142860466391e+18,587,22/4/2019
12,1.1390458479132625e+19,B,2.171862024719419e+18,1644,22/4/2019
13,1.2441467635680152e+19,B,4.1802340611482824e+18,89,22/4/2019
14,4.8989337804804685e+17,B,1.6048345631947817e+19,3008,22/4/2019
15,4.8989337804804685e+17,B,1.6048345631947817e+19,644,22/4/2019
16,4.8989337804804685e+17,B,1.6048345631947817e+19,206,22/4/2019
17,4.628257326051437e+18,A,1.5697558508250952e+18,1350,22/4/2019
18,4.628257326051437e+18,A,1.5697558508250952e+18,1091,22/4/2019
19,4.628257326051437e+18,A,1.5697558508250952e+18,1208,22/4/2019
20,1.4610661666036064e+19,B,1.3430103008194212e+18,1819,21/4/2019
21,1.4610661666036064e+19,B,1.3430103008194212e+18,1819,21/4/2019
22,9.94930784636458e+18,B,1.6740244054252462e+19,930,21/4/2019
23,9.94930784636458e+18,B,1.6740244054252462e+19,930,21/4/2019
24,9.94930784636458e+18,B,1.6740244054252462e+19,135,21/4/2019
25,9.94930784636458e+18,B,1.6740244054252462e+19,808,21/4/2019
26,9.94930784636458e+18,B,1.6740244054252462e+19,135,21/4/2019
27,9.94930784636458e+18,B,1.6740244054252462e+19,808,21/4/2019
28,1.0343266225909627e+19,B,8.369249527887742e+18,1308,21/4/2019
29,1.2017426154330565e+19,A,1.4581406082053181e+19,1999,21/4/2019
30,8.710812156411139e+18,A,1.2564232683448893e+19,296,21/4/2019
31,3.6101487349483914e+18,B,1.481231863025896e+18,69,21/4/2019
32,3.6101487349483914e+18,B,1.481231863025896e+18,39,21/4/2019
33,3.6101487349483914e+18,B,1.481231863025896e+18,39,21/4/2019
34,3.6101487349483914e+18,B,1.481231863025896e+18,69,21/4/2019
35,1.4953535137404613e+18,B,1.5211406335667503e+19,669,21/4/2019
36,1.8041658422835675e+19,A,2.1757488013888517e+18,251,21/4/2019
