user_id,event_dt,revenue
962151445481,2020-07-11 04:40:38,4.99
310578263698,2020-07-11 08:38:13,4.99
823774398375,2020-07-11 09:56:09,4.99
740336854012,2020-07-11 03:24:59,4.99
381136060921,2020-07-11 10:42:27,4.99
455262168515,2020-07-11 05:05:59,4.99
024753187007,2020-07-11 10:20:39,4.99
967794268282,2020-07-11 13:05:27,4.99
245421213759,2020-07-11 21:25:57,4.99
936365743905,2020-07-11 20:54:51,4.99
340639681857,2020-07-11 11:10:31,4.99
683358495829,2020-07-11 19:05:01,4.99
182914046885,2020-07-11 03:01:52,4.99
485057732393,2020-07-11 23:56:51,4.99
792550400086,2020-07-11 23:04:56,4.99
871292158242,2020-07-11 22:12:38,4.99
429975340386,2020-07-11 10:29:00,4.99
225143976127,2020-07-11 05:38:19,4.99
034724437045,2020-07-11 06:04:07,4.99
618381028300,2020-07-11 12:41:18,4.99
503944318106,2020-07-11 10:01:43,4.99
373169255040,2020-07-11 00:13:25,4.99
739802376323,2020-07-11 11:43:05,4.99
564224553553,2020-07-11 17:22:16,4.99
923862752961,2020-07-11 13:06:24,4.99
025936854220,2020-07-11 17:56:06,4.99
161670089837,2020-07-11 21:40:39,4.99
517683995192,2020-07-11 07:44:25,4.99
887096573822,2020-07-11 00:14:49,4.99
697241718481,2020-07-11 23:22:50,4.99
029856111426,2020-07-11 23:50:31,4.99
722936284144,2020-07-11 01:08:17,4.99
460057711725,2020-07-11 13:27:47,4.99
350919758359,2020-07-11 21:53:17,4.99
425228786669,2020-07-11 03:45:10,4.99
319905286984,2020-07-11 12:24:52,4.99
335377674999,2020-07-11 05:37:54,4.99
776238619297,2020-07-11 06:16:18,4.99
749530689625,2020-07-11 10:53:39,4.99
728888027550,2020-07-11 01:04:10,4.99
848452395545,2020-07-11 15:41:16,4.99
862496242876,2020-07-11 14:40:56,5.99
630232351446,2020-07-11 14:57:23,4.99
661742197063,2020-07-11 12:51:11,9.99
834508485821,2020-07-11 05:49:17,4.99
559016774462,2020-07-11 00:27:20,5.99
