event_time,uid,event_name
2019-08-22 03:38:50.902000,96080880366,pageview
2019-08-22 05:31:23.893000,96080880366,chat_message
2019-08-22 10:20:07.780000,96080880366,chat_message
2019-08-22 05:30:49.722000,96080880366,pageview
2019-08-22 03:59:04.223000,96080880366,chat_message
2019-08-22 05:29:57.144000,100176559498,pageview
2019-08-22 19:11:59.472000,101898444299,success
2019-08-22 19:22:45.540000,101898444299,chat_message
2019-08-22 19:07:31.105000,101898444299,pageview
2019-08-22 03:36:09.760000,105227738505,chat_message
2019-08-22 03:35:49.675000,105227738505,pageview
2019-08-22 03:36:31.640000,105227738505,pageview
2019-08-22 03:36:25.084000,105227738505,chat_message
2019-08-22 07:01:14.750000,105305279317,chat_message
2019-08-22 03:44:27.795000,105305279317,chat_message
2019-08-22 03:47:39.512000,105305279317,chat_message
2019-08-22 06:53:22.304000,105305279317,chat_message
2019-08-22 06:56:20.903000,105305279317,chat_message
2019-08-22 06:56:34.255000,105305279317,chat_message
2019-08-22 03:40:58.107000,105305279317,pageview
2019-08-22 04:19:11.967000,105305279317,chat_message
2019-08-22 03:38:31.641000,105305279317,pageview
2019-08-22 06:54:39.530000,105305279317,chat_message
2019-08-22 03:40:51.876000,105305279317,pageview
2019-08-22 03:39:10.475000,105305279317,chat_message
2019-08-22 06:55:18.697000,105305279317,chat_message
2019-08-22 04:20:14.024000,105305279317,chat_message
2019-08-22 11:29:19.165000,105378497500,chat_message
2019-08-22 07:53:00.408000,106400732364,pageview
2019-08-22 07:52:46.576000,106400732364,pageview
2019-08-22 23:53:04.869000,108054800563,pageview
2019-08-22 23:53:04.869000,108054800563,pageview
2019-08-22 23:55:38.620000,108054800563,chat_message
2019-08-22 23:55:38.620000,108054800563,chat_message
2019-08-22 23:54:34.866000,108054800563,pageview
2019-08-22 23:54:34.866000,108054800563,pageview
2019-08-22 23:54:06.976000,108054800563,success
2019-08-22 23:54:06.976000,108054800563,success
2019-08-22 23:55:53.281000,108054800563,chat_message
2019-08-22 23:55:53.281000,108054800563,chat_message
2019-08-22 23:56:10.441000,108054800563,chat_message
2019-08-22 23:56:10.441000,108054800563,chat_message
2019-08-22 23:56:19.812000,108054800563,chat_message
2019-08-22 23:56:19.812000,108054800563,chat_message
2019-08-22 23:53:58.674000,108054800563,chat_message
2019-08-22 23:53:58.674000,108054800563,chat_message
2019-08-22 04:09:16.091000,108073868788,success
2019-08-22 03:25:08.499000,108073868788,pageview
2019-08-22 02:57:23.282000,108088036807,pageview
2019-08-22 04:42:24.060000,108088036807,pageview
2019-08-22 03:58:28.291000,108088036807,pageview
2019-08-22 05:26:20.316000,108088036807,pageview
2019-08-22 02:58:08.329000,108088036807,chat_message
2019-08-22 01:50:52.221000,108199554167,chat_message
2019-08-22 01:36:20.543000,108199554167,chat_message
2019-08-22 01:34:27.695000,108199554167,pageview
2019-08-22 01:35:50.615000,108199554167,chat_message
2019-08-22 00:38:22.870000,108199554167,success
2019-08-22 00:37:38.994000,108199554167,pageview
2019-08-22 01:43:57.684000,108199554167,pageview
2019-08-22 01:36:29.344000,108199554167,chat_message
2019-08-22 03:25:55.848000,108214451844,success
2019-08-22 03:25:55.313000,108214451844,chat_message
2019-08-22 03:53:52.156000,108216723354,pageview
2019-08-22 03:54:49.525000,108216723354,chat_message
2019-08-22 03:58:49.465000,108216723354,chat_message
2019-08-22 03:57:01.944000,108216723354,success
2019-08-22 03:57:00.590000,108216723354,chat_message
2019-08-22 03:53:29.846000,108216723354,pageview
2019-08-22 12:19:44.924000,108218065294,chat_message
2019-08-22 11:38:30.702000,108218065294,chat_message
2019-08-22 11:41:45.866000,108218065294,pageview
2019-08-22 14:40:00.474000,108218065294,chat_message
2019-08-22 11:48:04.663000,108218065294,chat_message
2019-08-22 11:41:44.455000,108218065294,pageview
2019-08-22 11:48:20.268000,108218065294,chat_message
2019-08-22 11:35:56.916000,108218065294,success
2019-08-22 14:05:11.027000,108218065294,chat_message
2019-08-22 12:06:37.314000,108218065294,chat_message
2019-08-22 12:07:08.069000,108218065294,chat_message
2019-08-22 12:07:18.728000,108218065294,chat_message
2019-08-22 11:40:54.027000,108218065294,chat_message
2019-08-22 05:49:45.383000,108224687719,pageview
2019-08-22 06:14:13.439000,108225237839,chat_message
2019-08-22 05:59:00.188000,108225237839,pageview
2019-08-22 06:14:07.861000,108225237839,pageview
2019-08-22 07:04:28.269000,108229156083,pageview
2019-08-22 08:48:28.945000,108229156083,pageview
2019-08-22 08:51:20.182000,108229156083,chat_message
2019-08-22 08:52:40.906000,108229156083,pageview
2019-08-22 07:10:00.368000,108229156083,chat_message
2019-08-22 07:17:30.840000,108229156083,pageview
2019-08-22 07:04:34.441000,108229156083,chat_message
2019-08-22 12:22:26.660000,108230908422,chat_message
2019-08-22 07:54:08.546000,108230908422,pageview
2019-08-22 12:26:49.829000,108230908422,chat_message
2019-08-22 12:16:06.145000,108230908422,pageview
2019-08-22 07:52:18.985000,108230908422,pageview
2019-08-22 09:54:52.715000,108233163486,pageview
2019-08-22 12:32:34.056000,108233163486,pageview
2019-08-22 08:06:43.348000,108233163486,pageview
2019-08-22 14:04:59.703000,108233163486,pageview
2019-08-22 13:49:12.556000,108233163486,pageview
2019-08-22 13:19:38.375000,108233163486,pageview
2019-08-22 11:07:13.780000,108233163486,pageview
2019-08-22 10:49:59.917000,108233163486,pageview
2019-08-22 10:57:50.587000,108233163486,pageview
2019-08-22 09:49:50.747000,108233163486,pageview
2019-08-22 09:52:09.503000,108233163486,pageview
2019-08-22 09:48:14.532000,108233163486,pageview
2019-08-22 12:03:38.491000,108233163486,pageview
2019-08-22 09:48:39.007000,108233163486,pageview
2019-08-22 18:04:22.357000,108233163486,pageview
2019-08-22 09:50:32.820000,108233163486,pageview
2019-08-22 08:57:54.790000,108233163486,pageview
2019-08-22 13:14:22.830000,108233163486,pageview
2019-08-22 09:50:54.018000,108233163486,pageview
2019-08-22 12:56:36.525000,108233163486,pageview
2019-08-22 12:05:22.770000,108233163486,pageview
2019-08-22 14:44:43.421000,108233163486,pageview
2019-08-22 11:43:20.014000,108233163486,pageview
2019-08-22 13:55:15.985000,108233163486,pageview
2019-08-22 08:59:15.460000,108233163486,pageview
2019-08-22 14:50:44.283000,108233163486,pageview
2019-08-22 14:47:09.061000,108233163486,pageview
2019-08-22 14:46:47.259000,108233163486,pageview
2019-08-22 12:40:15.359000,108233163486,pageview
2019-08-22 13:06:53.623000,108233163486,pageview
2019-08-22 12:54:04.501000,108233163486,pageview
2019-08-22 14:48:53.092000,108233163486,pageview
2019-08-22 10:57:04.319000,108233163486,pageview
2019-08-22 08:11:09.456000,108233483439,chat_message
2019-08-22 08:11:09.456000,108233483439,chat_message
2019-08-22 08:11:09.456000,108233483439,chat_message
2019-08-22 08:11:09.456000,108233483439,chat_message
2019-08-22 08:11:09.456000,108233483439,chat_message
2019-08-22 08:11:09.456000,108233483439,chat_message
