bill_datetime,persons,restaurant_bill,tips,waiter_sex
2019-01-06 00:12:40,2,14.350000000000001,3.0,Male
2019-01-06 00:40:27,2,15.65,2.3000000000000003,Male
2019-01-06 00:57:23,2,15.350000000000001,3.85,Male
2019-01-06 01:26:51,2,19.8,2.45,Male
2019-01-06 01:28:29,4,24.700000000000003,4.4,Male
2019-01-06 02:46:32,4,28.8,4.9,Male
2019-01-06 03:58:44,2,11.450000000000001,3.3000000000000003,Female
2019-01-06 07:48:12,4,27.05,4.8500000000000005,Male
2019-01-06 08:22:54,2,16.05,3.1500000000000004,Male
2019-01-06 09:33:45,2,16.45,2.3000000000000003,Male
2019-01-06 09:40:26,5,33.2,5.7,Female
2019-01-06 10:21:17,4,32.85,6.1000000000000005,Male
2019-01-06 10:29:40,2,20.55,2.4000000000000004,Male
2019-01-06 10:36:32,2,15.3,3.6500000000000004,Male
2019-01-06 11:20:36,4,35.25,5.5,Male
2019-01-06 11:27:59,3,28.5,4.55,Female
2019-01-06 11:28:26,2,17.0,1.9500000000000002,Male
2019-01-06 11:28:40,4,37.0,6.25,Female
2019-01-06 12:11:01,4,35.550000000000004,5.2,Male
2019-01-06 12:14:40,2,17.95,1.8,Male
2019-01-06 12:21:48,3,11.75,1.9500000000000002,Male
2019-01-06 12:24:05,2,11.8,2.15,Male
2019-01-06 13:00:53,2,13.65,3.0,Male
2019-01-06 13:15:23,2,11.0,1.9500000000000002,Male
2019-01-06 13:30:19,4,32.15,6.0,Male
2019-01-06 13:37:28,3,22.650000000000002,3.8000000000000003,Female
2019-01-06 14:02:21,2,11.200000000000001,2.95,Female
2019-01-06 14:14:05,4,20.35,3.5,Male
2019-01-06 14:45:25,2,16.0,3.8000000000000003,Male
2019-01-06 14:59:50,2,37.35,4.05,Male
2019-01-06 15:06:39,5,22.75,5.800000000000001,Male
2019-01-06 15:07:24,3,30.5,2.3000000000000003,Male
2019-01-06 15:32:32,3,20.35,4.0,Female
2019-01-06 15:44:01,4,28.3,5.7,Male
2019-01-06 15:52:31,4,23.650000000000002,4.3500000000000005,Male
2019-01-06 16:00:47,2,18.35,3.8000000000000003,Female
2019-01-06 16:17:24,2,20.200000000000003,3.6500000000000004,Male
2019-01-06 16:17:32,2,23.400000000000002,5.550000000000001,Male
2019-01-06 16:39:40,2,8.35,6.15,Male
2019-01-06 17:11:06,2,35.75,3.85,Male
2019-01-06 17:14:36,2,13.9,2.35,Male
2019-01-06 17:21:23,2,15.55,2.35,Male
2019-01-06 17:27:59,3,18.25,3.25,Male
2019-01-06 18:22:45,2,23.200000000000003,4.800000000000001,Male
2019-01-06 18:49:30,4,20.05,3.7,Male
2019-01-06 18:51:31,2,10.55,1.5,Male
2019-01-06 18:58:15,4,37.9,5.800000000000001,Female
2019-01-06 19:06:14,2,8.0,5.7,Male
2019-01-06 19:11:04,4,26.75,5.7,Male
2019-01-06 19:42:11,4,28.75,3.7,Male
2019-01-06 19:42:35,4,39.35,4.15,Male
2019-01-06 19:59:44,3,17.3,2.35,Female
2019-01-06 20:03:02,2,11.700000000000001,2.2,Male
2019-01-06 20:09:37,3,18.650000000000002,3.35,Male
2019-01-06 20:11:27,4,27.35,2.35,Male
2019-01-06 20:15:24,2,10.600000000000001,1.55,Male
2019-01-06 20:53:18,2,21.3,4.0,Male
2019-01-06 21:17:41,2,25.1,5.75,Male
2019-01-06 21:30:03,2,14.700000000000001,2.45,Male
2019-01-06 21:34:24,3,23.75,4.1000000000000005,Male
2019-01-06 21:40:15,4,24.450000000000003,4.25,Male
2019-01-06 21:45:56,3,10.9,1.75,Female
2019-01-06 22:04:57,3,51.550000000000004,4.5,Male
2019-01-06 22:24:45,2,16.5,2.2,Male
2019-01-06 22:41:41,4,30.75,3.7,Male
2019-01-06 22:53:12,4,33.0,5.65,Male
2019-01-06 22:55:38,3,41.95,4.8500000000000005,Male
2019-01-06 23:09:35,3,49.1,3.9000000000000004,Male
2019-01-06 23:28:29,6,53.050000000000004,5.75,Male
2019-01-06 23:47:15,3,22.950000000000003,4.1000000000000005,Female
2019-01-06 23:59:49,2,15.8,3.2,Female
2019-01-13 00:13:18,2,14.350000000000001,3.0500000000000003,Female
2019-01-13 00:15:50,2,18.85,3.0500000000000003,Male
2019-01-13 00:16:55,2,10.25,4.55,Female
2019-01-13 00:36:24,2,18.2,4.05,Female
2019-01-13 01:07:11,5,22.85,5.800000000000001,Male
2019-01-13 01:08:36,2,16.3,2.3000000000000003,Male
2019-01-13 01:42:05,2,24.55,4.45,Male
2019-01-13 02:28:11,2,19.05,5.15,Male
2019-01-13 02:50:17,4,23.150000000000002,3.85,Male
2019-01-13 03:56:11,2,14.450000000000001,3.25,Male
2019-01-13 06:16:12,2,26.55,3.85,Male
2019-01-13 07:15:03,2,10.8,4.800000000000001,Female
2019-01-13 08:13:09,2,19.0,3.25,Male
2019-01-13 08:47:51,2,10.450000000000001,4.65,Female
2019-01-13 09:13:00,4,23.900000000000002,4.0,Male
2019-01-13 09:21:20,4,39.5,4.4,Male
2019-01-13 09:52:58,2,15.65,2.4000000000000004,Male
2019-01-13 10:12:30,2,14.850000000000001,3.0,Female
2019-01-13 10:16:38,2,22.35,2.5500000000000003,Male
2019-01-13 10:29:24,5,23.1,5.550000000000001,Male
2019-01-13 10:57:35,2,15.9,2.0500000000000003,Male
2019-01-13 11:00:10,2,15.700000000000001,2.45,Male
